name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
evaluateAgentNeedsAndSetTask,/Users/gm1/Code/neon_oubliette/ecs/systems/agent_decision_system.cpp,127,3173425,0.001597,7319,433,83,27542,934.531590
WorldRendering,/Users/gm1/Code/neon_oubliette/ecs/systems/rendering_system.cpp,796,28041459453,14.109615,4970,5642144,583375,13994333,3363158.120207
update,/Users/gm1/Code/neon_oubliette/ecs/systems/rendering_system.cpp,312,30984380582,15.590404,4970,6234281,763292,14872875,3354191.909313
processPathfindingRequest,/Users/gm1/Code/neon_oubliette/ecs/systems/pathfinding_system.cpp,279,628421582,0.316203,707,888856,83,87184792,7608142.294920
advance_turn,/Users/gm1/Code/neon_oubliette/ecs/simulation_coordinator.cpp,21,52591904589,26.462657,9782,5376395,3208,566441083,16789071.461951
handleTurnEvent,/Users/gm1/Code/neon_oubliette/ecs/systems/agent_decision_system.cpp,26,8537454,0.004296,290,29439,17500,98750,11547.521672
AgentDecisionBlock,/Users/gm1/Code/neon_oubliette/ecs/systems/agent_decision_system.cpp,49,4343956,0.002186,10398,417,41,28709,1027.647707
SimulationLayer,/Users/gm1/Code/neon_oubliette/ecs/simulation_coordinator.cpp,126,5033984129,2.532949,476,10575596,23750,36995000,11416889.614255
assemble,/Users/gm1/Code/neon_oubliette/ecs/systems/grammar_engine.cpp,380,901542,0.000454,4,225385,202917,250042,20389.684140
run_simulation_tick,/Users/gm1/Code/neon_oubliette/ecs/simulation_coordinator.cpp,101,6130088225,3.084475,203,30197478,21368292,123885125,17067586.243159
expand,/Users/gm1/Code/neon_oubliette/ecs/systems/grammar_engine.cpp,41,2178943,0.001096,16720,130,41,124917,2027.563885
generateSimulatedPath,/Users/gm1/Code/neon_oubliette/ecs/systems/pathfinding_system.cpp,198,38316322,0.019280,693,55290,10791,322208,88486.083318
update,/Users/gm1/Code/neon_oubliette/ecs/systems/pathfinding_system.cpp,20,628527334,0.316256,203,3096193,41,87443375,14025897.726131
run_phase,/Users/gm1/Code/neon_oubliette/ecs/system_scheduler.cpp,36,47409604370,23.855080,14955,3170150,2125,427657375,10262711.229673
SystemUpdate,/Users/gm1/Code/neon_oubliette/ecs/system_scheduler.cpp,64,47215854988,23.757591,21353,2211204,41,427652083,8706071.659120
