name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
evaluateAgentNeedsAndSetTask,/Users/gm1/Code/neon_oubliette/ecs/systems/agent_decision_system.cpp,127,1975301,0.002975,3589,550,83,263334,4554.475488
WorldRendering,/Users/gm1/Code/neon_oubliette/ecs/systems/rendering_system.cpp,812,8611405159,12.968779,1619,5318965,1290083,21018375,2316066.637534
update,/Users/gm1/Code/neon_oubliette/ecs/systems/rendering_system.cpp,312,9668595290,14.560908,1619,5971955,1428667,23783250,2380119.490659
processPathfindingRequest,/Users/gm1/Code/neon_oubliette/ecs/systems/pathfinding_system.cpp,279,175400293,0.264153,428,409813,167,49799709,4100104.803776
advance_turn,/Users/gm1/Code/neon_oubliette/ecs/simulation_coordinator.cpp,21,20611828037,31.041420,3082,6687809,2708,208998708,18036994.001255
handleTurnEvent,/Users/gm1/Code/neon_oubliette/ecs/systems/agent_decision_system.cpp,26,4820868,0.007260,138,34933,17209,395291,32417.006984
AgentDecisionBlock,/Users/gm1/Code/neon_oubliette/ecs/systems/agent_decision_system.cpp,49,2586546,0.003895,5022,515,41,278625,4121.468980
SimulationLayer,/Users/gm1/Code/neon_oubliette/ecs/simulation_coordinator.cpp,126,3231547327,4.866711,305,10595237,23583,38741125,11284387.811782
assemble,/Users/gm1/Code/neon_oubliette/ecs/systems/grammar_engine.cpp,380,461875,0.000696,2,230937,171250,290625,84410.872007
run_simulation_tick,/Users/gm1/Code/neon_oubliette/ecs/simulation_coordinator.cpp,101,3744890824,5.639807,129,29030161,22063625,85877208,10670210.138961
expand,/Users/gm1/Code/neon_oubliette/ecs/systems/grammar_engine.cpp,41,1171386,0.001764,9846,118,41,130833,1810.431667
generateSimulatedPath,/Users/gm1/Code/neon_oubliette/ecs/systems/pathfinding_system.cpp,198,27779029,0.041835,417,66616,11000,354083,94594.814045
update,/Users/gm1/Code/neon_oubliette/ecs/systems/pathfinding_system.cpp,20,175457710,0.264239,130,1349674,41,50269750,7403675.963298
run_phase,/Users/gm1/Code/neon_oubliette/ecs/system_scheduler.cpp,36,17463501193,26.300039,4831,3614883,1833,131517709,10154342.099791
SystemUpdate,/Users/gm1/Code/neon_oubliette/ecs/system_scheduler.cpp,64,17402308901,26.207883,8913,1952463,41,131510000,7680634.806241
